"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"0 601 5A6 100","06015A6100","3165140786973","TitelAkku-Stichsäge GST 18V-LI B Professional|Verpackungsabmessungen (Breite)337mm|Verpackungsabmessungen (Länge)460mm|Verpackungsabmessungen (Höhe)124mm|Verpackungsabmessungen (Breite x Länge x Höhe)337 x 460 x 124mm|Akkuspannung18,0 V|Gewicht inkl. Akku2,4kg|Hubzahl bei Leerlauf, von0min-1|Hubzahl bei Leerlauf, bis zu2.700min-1|Hubzahl bei Leerlauf0 – 2.700min-1|Hubhöhe23mm|Gewicht exkl. Akku1,8kg|Schnitttiefe in Holz120mm|Schnitttiefe in Alu20mm|Schnitttiefe in Stahl unlegiert8mm|Neigungswinkel0 – 45°|Unterteilung der ProduktkategorienAkku-Stichsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-169179-117_jpg/normal.jpg/normal.jpg","0.124","0.337","0.46","2.34","","main_product",1,"","","","","","",""
"0 601 6A2 100","06016A2101","3165140781374","Sägeblattdurchmesser165mm|Sägeblattbohrungs-20mm|TitelAkku-Kreissäge GKS 18V-57 G Professional|Verpackungsabmessungen (Breite)354mm|Verpackungsabmessungen (Länge)445mm|Verpackungsabmessungen (Höhe)243mm|Verpackungsabmessungen (Breite x Länge x Höhe)354 x 445 x 243mm|Akkuspannung18,0 V|Gewicht inkl. Akku4,1kg|Leerlaufdrehzahl, von3.400min-1|Leerlaufdrehzahl3.400min-1|FührungsschienenkompatibelJa|Max. Schnittkapazität in Holz (90°)57mm|Max. Schnittkapazität in Holz (45°)42mm|Unterteilung der ProduktkategorienAkku-Kreissäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-214391-117_jpg/detail.jpg/normal.jpg","0.243","0.354","0.445","5.7","","main_product",1,"","","","","","",""
"0 601 6A5 004","06016A5004","3165140876407","Hubzahl, 1. Gang0min-1|Hubzahl, 2. Gang3.050min-1|Hubzahl (1. Gang / 2. Gang)0 - 3.050min-1|TitelAkku-Säbelsäge GSA 18V-LI C Professional|Verpackungsabmessungen (Breite)197mm|Verpackungsabmessungen (Länge)409mm|Verpackungsabmessungen (Höhe)83mm|Verpackungsabmessungen (Breite x Länge x Höhe)197 x 409 x 83mm|Akkuspannung18,0 V|Gewicht inkl. Akku2,5kg|Schnitttiefe in Holz200mm|Schnitttiefe in Metallprofilen und Metallrohren100mm|Hublänge, 1. Gang21mm|Hublängen21mm|Gewicht exkl. Akku2kg|Unterteilung der ProduktkategorienAkku-Säbelsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-205458-117_jpg/detail.jpg/normal.jpg","0.083","0.197","0.409","1.8","","main_product",1,"","","","","","",""
"0 601 9C4 001","06019C4001","3165140708920","Kapazität Kartuschen310ml|Kapazität Folienbeutel400ml|TitelAkku-Kartuschenpresse GCG 18V-600 Professional|Neuheit bis17.02.2019|SOL Datum15.09.2018|Verpackungsabmessungen (Breite)357mm|Verpackungsabmessungen (Länge)729mm|Verpackungsabmessungen (Höhe)94mm|Verpackungsabmessungen (Breite x Länge x Höhe)357 x 729 x 94mm|Akkuspannung18,0 V|Druckkraft3,5kN|Vorschubgeschwindigkeit7mm/Sek|Gewicht exkl. Akku2,2kg|Unterteilung der ProduktkategorienAkku-Kartuschenpresse","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-245714-117_jpg/detail.jpg/normal.jpg","0.094","0.357","0.729","0.48","","main_product",1,"","","","","","",""
"0 601 9C6 200","06019C6200","3165140888677","TitelAkku-Sauger GAS 18V-1 Professional|Neuheit bis01.07.2020|Verpackungsabmessungen (Breite)218mm|Verpackungsabmessungen (Länge)496mm|Verpackungsabmessungen (Höhe)195mm|Verpackungsabmessungen (Breite x Länge x Höhe)218 x 496 x 195mm|Akkuspannung18,0 V|Gewicht exkl. Akku1,3kg|Behältervolumen0,70l|Filterfläche55cm²|Max. Luftstromgeschwindigkeit (Turbine)10,0l/s|Max. Unterdruck (Turbine)60mbar|Betriebszeit 18 V7min/Ah|Unterteilung der ProduktkategorienAkku-Sauger","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-264065-117_jpg/detail.jpg/normal.jpg","0.195","0.218","0.496","1.66","","main_product",1,"","","","","","",""
"0 601 9D0 200","06019D0200","3165140813280","TitelAkku-Schwingschleifer GSS 18V-10 Professional|Neuheit bis01.08.2016|Verpackungsabmessungen (Breite)177mm|Verpackungsabmessungen (Länge)223mm|Verpackungsabmessungen (Höhe)143mm|Verpackungsabmessungen (Breite x Länge x Höhe)177 x 223 x 143mm|Akkuspannung18,0 V|Gewicht inkl. Akku1,7kg|Schwingzahl bei Leerlauf, bis zu22.000min-1|Schwingzahl im Leerlauf22.000min-1|Schwingkreisdurchmesser1,6mm|Schleifplatte, Breite101mm|Schleifplatte, Länge113mm|Schleiffläche114qcm|Schleifblatt zum Klemmen, Breite115mm|Schleifblatt zum Klemmen, Länge140mm|Schleifbogen mit Klettverschluss, Breite115mm|Schleifbogen mit Klettverschluss, Länge107mm|Unterteilung der ProduktkategorienAkku-Schwingschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-187446-117_jpg/detail.jpg/normal.jpg","0.143","0.177","0.223","0.93","","main_product",1,"","","","","","",""
"0 601 9F5 100","06019F5100","3165140821049","TitelAkku-Gebläse GBL 18V-120 Professional|Neuheit bis01.07.2016|Verpackungsabmessungen (Breite)210mm|Verpackungsabmessungen (Länge)303mm|Verpackungsabmessungen (Höhe)190mm|Verpackungsabmessungen (Breite x Länge x Höhe)210 x 303 x 190mm|Akkuspannung18,0 V|Leerlaufdrehzahl, bis zu17.000min-1|Leerlaufdrehzahl17.000min-1|Max. Luftgeschwindigkeit270km/h|Max. Luftdurchsatz120m³/h|BetriebszeitDrehzahl I : 8 min/Ah|Gewicht exkl. Akku1,1kg|Unterteilung der ProduktkategorienAkku-Gebläse","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-261436-117_jpg/detail.jpg/normal.jpg","0.19","0.21","0.303","0.4","","main_product",1,"","","","","","",""
"0 601 9G3 40B","06019G340B","3165140960878","TitelAkku-Winkelschleifer GWS 18V-10 SC Professional|Neuheit bis01.02.2019|Verpackungsabmessungen (Breite)360mm|Verpackungsabmessungen (Länge)442mm|Verpackungsabmessungen (Höhe)155mm|Verpackungsabmessungen (Breite x Länge x Höhe)360 x 442 x 155mm|Akkuspannung18,0 V|Gewicht inkl. Akku2,8kg|Leerlaufdrehzahl, von4.500min-1|Leerlaufdrehzahl, bis zu9.000min-1|Leerlaufdrehzahl4.500 – 9.000min-1|SchleifspindelgewindeM14|Bohrung, 22,2mm|Gewicht exkl. Akku2kg|Scheiben-125mm|Gummischleifteller, 125mm|Unterteilung der ProduktkategorienAkku-Winkelschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-282575-117_jpg/detail.jpg/normal.jpg","0.155","0.36","0.442","1.47","","main_product",1,"","","","","","",""
"0 601 9H1 176","06019H1176","4059952510231","TitelAkku-Schlagbohrschrauber GSB 18V-21 Professional|Neuheit bis01.07.2020|Werkzeugabmessungen (Höhe)234mm|Verpackungsabmessungen (Breite)250mm|Verpackungsabmessungen (Länge)325mm|Verpackungsabmessungen (Höhe)110mm|Verpackungsabmessungen (Breite x Länge x Höhe)250 x 325 x 110mm|Bohr- Holz, max.35mm|Akkuspannung18,0 V|Drehmoment (weich)21Nm|Drehmoment (hart)55Nm|Drehmoment (weich/hart/max.)21/55/-Nm|AkkutypLithium-Ionen|Leerlaufdrehzahl, 1. Gang, von0min-1|Leerlaufdrehzahl, 1. Gang, bis480min-1|Leerlaufdrehzahl, 2. Gang, von0min-1|Leerlaufdrehzahl, 2. Gang, bis1.800min-1|Leerlaufdrehzahl (1. Gang / 2. Gang)0 – 480 / 0 – 1.800min-1|Schlagzahl, max.27.000bpm|Bohrfutterspannbereich, min.1,5mm|Bohrfutterspannbereich, max.13mm|Bohrfutterspannbereich, min./max.1,5 / 13mm|Gewicht exkl. Akku1,3kg|Drehmomentstufen (Standard)20|Drehmomentstufen (zusätzlich)2|Drehmomentstufen20+2|Bohr- Stahl, max.10mm|Bohr- Mauerwerk, max.10mm|Schrauben-, max.10mm|Unterteilung der ProduktkategorienAkku-Schlagbohrschrauber","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-276339-117_jpg/detail.jpg/normal.jpg","0.11","0.25","0.325","1.4","","main_product",1,"","","","","","",""
"71230561000","71230561000","4014586897165","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl9 000 - 28 000min⁻¹|Schleifkörper max. 50mm|Spannzange max. 8mm|Fräser max. 12mm|Gewicht ohne Akku1,77kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/366361_7_piso71230561_soft__ofc_jpg/detail.jpg/normal.jpg","0.178","0.399","0.605","5.89","","main_product",1,"","","","","","",""
"71230661000","71230661000","4014586897172","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl2 900 - 9 000min⁻¹|Polierwerkzeug 80mm|Schleifkörper max. 50mm|Spannzange max. 8mm|Fräser max. 12mm|Gewicht ohne Akku1,77kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/366355_7_piso71230661_soft__ofc_jpg/detail.jpg/normal.jpg","0.178","0.399","0.605","5.94","","main_product",1,"","","","","","",""
"71132461000","71132461000","4014586898872","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe2-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl450 / 2 000min⁻¹|Max. Drehmoment (hart/weich)60 / 38Nm|Drehmomentstufen22 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 300mm|Bohr- Stahl13mm|Bohr- Holz50mm|GewindebohrenM 10|Gewicht ohne Akku1,40kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377039_7_piso71132461_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","4.72","","main_product",1,"","","","","","",""
"71132462000","71132462000","4014586900759","Akku-Spannung18V|Akku-Kapazität5Ah|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe2-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl450 / 2 000min⁻¹|Max. Drehmoment (hart/weich)60 / 38Nm|Drehmomentstufen22 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 300mm|Bohr- Stahl13mm|Bohr- Holz50mm|GewindebohrenM 10|Gewicht ohne Akku1,40kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388769_7_pset71132462000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","7.0","","main_product",1,"","","","","","",""
"71161461000","71161461000","4014586898919","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl400 / 700 / 1 400 / 2 500min⁻¹|Max. Drehmoment (hart/weich)40 / 30Nm|Drehmomentstufen20 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 200mm|Bohr- Stahl13mm|Bohr- Holz40mm|GewindebohrenM 8|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377011_7_piso71161461_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","4.6","","main_product",1,"","","","","","",""
"71161462000","71161462000","4014586900803","Akku-Spannung18V|Akku-Kapazität5Ah|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl400 / 700 / 1 400 / 2 500min⁻¹|Max. Drehmoment (hart/weich)40 / 30Nm|Drehmomentstufen20 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 200mm|Bohr- Stahl13mm|Bohr- Holz40mm|GewindebohrenM 8|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388897_7_pset71161462000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","6.9","","main_product",1,"","","","","","",""
"71161561000","71161561000","4014586900100","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377019_7_piso71161561_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","5.4","","main_product",1,"","","","","","",""
"71161561090","71161561090","4014586900254","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|Gewindebohren1/2\|Gewicht ohne Akku1,30kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/378522_7_piso71161561090_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","5.8","","main_product",1,"","","","","","",""
"71161562000","71161562000","4014586900704","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379313_7_pset71161562000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","5.9","","main_product",1,"","","","","","",""
"71161563000","71161563000","4068708004771","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379853_7_pset71161563000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","8.0","","main_product",1,"","","","","","",""
"71161564000","71161564000","4014586900711","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379854_7_pset71161564000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","6.7","","main_product",1,"","","","","","",""
"71161565000","71161565000","4014586900728","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388175_7_pset71161565000__ofc_jpg/detail.jpg/normal.jpg","0.24","0.358","0.445","11.2","","main_product",1,"","","","","","",""
"71161566000","71161566000","4014586900735","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379857_7_pset71161566000__ofc_jpg/detail.jpg/normal.jpg","0.24","0.358","0.445","9.9","","main_product",1,"","","","","","",""
"","21933","","","","","'https://www.nexmart.com/media/catalog/ampshare/easy.jpg/normal.jpg","0.47","0.36","0.632","14.8","","",1,"","","","","","",""
"","100963","4054959000020","Max. Hebeleistung160kg|Steiggeschwindigkeit15 - 25Stufen / min|Reichweite, bei 75 kgca. 75Stockwerke|Reichweite bei Maximallastca. 24Stockwerke|Max. Treppenstufenhöhe0.21m","","","'https://www.nexmart.com/media/catalog/ampshare/cc160_li-ion.png/normal.png","","0.466","","25.6","","",1,"","","","","","",""
"71161567000","71161567000","4014586900810","Akku-Spannung18V|Akku-Kapazität5Ah|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|GewindebohrenM 14|Gewicht ohne Akku1,30kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388774_7_pset71161567000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","7.4","","main_product",1,"","","","","","",""
"71040761000","71040761000","4014586898865","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe2-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl450 / 2 000min⁻¹|Schlagzahl7 360 / 32 000min⁻¹|Max. Drehmoment (hart/weich)60 / 38Nm|Drehmomentstufen22 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 300mm|Bohr- Stahl13mm|Bohr- Holz50mm|Bohr- Stein13mm|GewindebohrenM 10|Gewicht ohne Akku1,50kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377481_7_piso71040761_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","4.2","","main_product",1,"","","","","","",""
"71040762000","71040762000","4014586900742","Akku-Spannung18V|Akku-Kapazität5Ah|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe2-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl450 / 2 000min⁻¹|Schlagzahl7 360 / 32 000min⁻¹|Max. Drehmoment (hart/weich)60 / 38Nm|Drehmomentstufen22 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben8 x 300mm|Bohr- Stahl13mm|Bohr- Holz50mm|Bohr- Stein13mm|GewindebohrenM 10|Gewicht ohne Akku1,50kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388770_7_pset71040762000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","7.0","","main_product",1,"","","","","","",""
"71161661000","71161661000","4014586900261","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN MAX|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Schlagzahl6 450 / 12 750 / 30 000 / 60 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|Bohr- Stein13mm|GewindebohrenM 14|Gewicht ohne Akku1,40kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377015_7_piso71161661_soft__ofc_jpg/detail.jpg/normal.jpg","0.16","0.358","0.44","5.497","","main_product",1,"","","","","","",""
"71161661090","71161661090","4014586900278","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Schlagzahl6 450 / 12 750 / 30 000 / 60 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|Bohr- Stein13mm|Gewindebohren1/2\ [M14]|Gewicht ohne Akku1,40kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/378526_7_piso71161661090_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","5.497","","main_product",1,"","","","","","",""
"71161665000","71161665000","4014586900827","Akku-Spannung18V|Akku-Kapazität5Ah|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Getriebe4-Gang|Zubehör-SchnittstelleQuickIN|Leerlaufdrehzahl430 / 850 / 2 000 / 4 000min⁻¹|Schlagzahl6 450 / 12 750 / 30 000 / 60 000min⁻¹|Max. Drehmoment (hart/weich)130 (70 / 50)Nm|Drehmomentstufen15 + 1|Bohrfutter-Spannweite1,5 - 13mm|Schrauben10 x 400mm|Bohr- Stahl Spiralbohrer13mm|Bohr- Stahl Kernbohrer30mm|Bohr- Stahl Lochsägen80mm|Bohr- Holz60mm|Bohr- Stein13mm|GewindebohrenM 14|Gewicht ohne Akku1,40kg","","","'https://www.nexmart.com/media/catalog/ampshare/fein/388775_7_pset71161665000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","7.5","","main_product",1,"","","","","","",""
"71151061000","71151061000","4014586898889","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl0 - 1700min⁻¹|Schlagzahl0 - 3400min⁻¹|max. Drehmoment290Nm|Drehmomentstufen6|Werkzeugaufnahme1/2\ Außenvierkant|max. metrische SchraubeM18 (8.8)|max.  Holzschraube8 x 300mm|Gewicht ohne Akku1,20kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/377027_7_piso71151061_soft__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","4.5","","main_product",1,"","","","","","",""
"71151062000","71151062000","4014586900155","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl0 - 1700min⁻¹|Schlagzahl0 - 3400min⁻¹|max. Drehmoment290Nm|Drehmomentstufen6|Werkzeugaufnahme1/2\ Außenvierkant|max. metrische SchraubeM18 (8.8)|max.  Holzschraube8 x 300mm|Gewicht ohne Akku1,20kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379316_7_pset71151062000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","6.1","","main_product",1,"","","","","","",""
"71151063000","71151063000","4014586900162","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl0 - 1700min⁻¹|Schlagzahl0 - 3400min⁻¹|max. Drehmoment290Nm|Drehmomentstufen6|Werkzeugaufnahme1/2\ Außenvierkant|max. metrische SchraubeM18 (8.8)|max.  Holzschraube8 x 300mm|Gewicht ohne Akku1,20kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379318_7_pset71151063000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","4.8","","main_product",1,"","","","","","",""
"71151064000","71151064000","4014586900179","Akku-Spannung18V|Akku-KompatibilitätLi-Ionen / ProCORE Li-Ionen|Akku-Schnittstelle18 V AMPShare|Motorbürstenlos|Leerlaufdrehzahl0 - 1700min⁻¹|Schlagzahl0 - 3400min⁻¹|max. Drehmoment290Nm|Drehmomentstufen6|Werkzeugaufnahme1/2\ Außenvierkant|max. metrische SchraubeM18 (8.8)|max.  Holzschraube8 x 300mm|Gewicht ohne Akku1,20kg""","","","'https://www.nexmart.com/media/catalog/ampshare/fein/379334_7_pset71151064000__ofc_jpg/detail.jpg/normal.jpg","0.152","0.358","0.445","5.9","","main_product",1,"","","","","","",""
