"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"0 601 B43 000","0601B43000","","Neigungseinstellung, links47°|Neigungseinstellung, rechts47°|Neigungseinstellung47 ° L / 47 ° R|TitelAkku-Kapp- und Gehrungssäge BITURBO GCM 18V-305 GDC Professional|Neuheit bis01.12.2020|SOL Datum20.11.2020|Verpackungsabmessungen (Breite)585mm|Verpackungsabmessungen (Länge)783mm|Verpackungsabmessungen (Höhe)572mm|Verpackungsabmessungen (Breite x Länge x Höhe)585 x 783 x 572mm|Akkuspannung18,0 V|Sägeblattdurchmesser305mm|Gewicht26,6kg|Schnittkapazität bei 0°, Höhe104mm|Schnittkapazität bei 0°, Breite341mm|Schnittkapazität 0°104 x 341mm|Schneidekapazität 0° mit Abstandshalter (max. vertikal), Höhe120mm|Schneidekapazität 0° mit Abstandshalter (max. vertikal), Breite200mm|Schnittkapazität 0° mit Abstandshalter (max. vertikal)120 x 200mm|Schneidekapazität 0° mit Abstandshalter (max. horizontal), Höhe45mm|Schneidekapazität 0° mit Abstandshalter (max. horizontal), Breite400mm|Schnittkapazität 0° mit Abstandshalter (max. horizontal)45 x 400mm|Schnittkapazität bei 45° Gehrung, Höhe104mm|Schnittkapazität bei 45° Gehrung, Breite240mm|Schnittkapazität 45° Gehrung104 x 240mm|Schnittkapazität bei 45° Neigung, Höhe40mm|Schnittkapazität bei 45° Neigung, Breite341mm|Schnittkapazität 45°-Neigung40 x 341mm|Gehrungseinstellung, links52°|Gehrungseinstellung, rechts60°|Gehrungseinstellung52 ° L / 60 ° R|Werkzeugabmessungen (Breite)565mm|Werkzeugabmessungen (Länge)630mm|Werkzeugabmessungen (Höhe)790mm|Werkzeugabmessungen (Breite x Länge x Höhe)565 x 630 x 790mm|Leerlaufdrehzahl, von2.550min-1|Leerlaufdrehzahl, bis zu4.000min-1|Leerlaufdrehzahl2.550 – 4.000min-1|Sägeblattbohrungs-30mm|Unterteilung der ProduktkategorienAkku-Kapp- und Gehrungssäge BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-331495-117_jpg/detail.jpg/normal.jpg","0.572","0.585","0.783","32.7","","main_product",1,"","","","","","",""
"0 611 914 001","0611914001","","TitelAkku-Bohrhammer BITURBO mit SDS plus GBH 18V-34 CF Professional|Neuheit bis01.04.2021|Werkzeugabmessungen (Länge)430mm|Verpackungsabmessungen (Breite)499mm|Verpackungsabmessungen (Länge)618mm|Verpackungsabmessungen (Höhe)147mm|Verpackungsabmessungen (Breite x Länge x Höhe)499 x 618 x 147mm|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)5,8J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu2.900bpm|Schlagzahl bei Nenndrehzahl0 – 2.900bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu500min-1|Nenndrehzahl0 – 500min-1|Gewicht exkl. Akku4,9kg|WerkzeugaufnahmeSDS plus|Bohr- Beton mit Hammerbohrern, von8mm|Bohr- Beton mit Hammerbohrern, bis32mm|Bohr- in Beton mit Hammerbohrern8 – 32mm|Rec. app. range in concr. with ham. dr. bits, from12mm|Rec. app. range in concr. with hammer dr. bits, to30mm|Optimaler Einsatzbereich Beton mit Hammerbohrern12 – 30mm|Max. Bohrdurchmesser in Metall13mm|Max. Bohr- Holz40mm|Unterteilung der ProduktkategorienAkku-Bohrhammer BITURBO mit SDS plus","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-316331-117_jpg/detail.jpg/normal.jpg","0.147","0.499","0.618","5.014","","main_product",1,"","","","","","",""
"0 601 6B5 000","06016B5000","","Sägeblattdurchmesser190mm|Sägeblattbohrungs-30mm|Max. Schnittkapazität in Holz (90°)70mm|Max. Schnittkapazität in Holz (45°)49,5mm|TitelAkku-Kreissäge BITURBO GKS 18V-68 C Professional|Neuheit bis01.12.2020|Verpackungsabmessungen (Breite)280mm|Verpackungsabmessungen (Länge)435mm|Verpackungsabmessungen (Höhe)245mm|Verpackungsabmessungen (Breite x Länge x Höhe)280 x 435 x 245mm|Akkuspannung18,0 V|Gewicht inkl. Akku0,0kg|Leerlaufdrehzahl, von5.000min-1|Leerlaufdrehzahl5.000min-1|Gewicht exkl. Akku4kg|FührungsschienenkompatibelNein|Max. Schnittkapazität in Metall (90°)0mm|Unterteilung der ProduktkategorienAkku-Kreissäge BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-319929-117_jpg/detail.jpg/normal.jpg","0.245","0.28","0.435","4.654","","main_product",1,"","","","","","",""
"0 611 913 000","0611913000","","TitelAkku-Bohrhammer BITURBO mit SDS max GBH 18V-45 C Professional|Neuheit bis18.01.2021|Werkzeugabmessungen (Länge)545mm|Verpackungsabmessungen (Breite)411mm|Verpackungsabmessungen (Länge)618mm|Verpackungsabmessungen (Höhe)149mm|Verpackungsabmessungen (Breite x Länge x Höhe)411 x 618 x 149mm|Akkukapazität12,0Ah|Akkuspannung18,0 V|Schlagenergie (gemäß EPTA 05/2016)12,5J|Schlagzahl bei Nenndrehzahl, von0bpm|Schlagzahl bei Nenndrehzahl, bis zu2.740bpm|Schlagzahl bei Nenndrehzahl0 – 2.740bpm|Nenndrehzahl, von0min-1|Nenndrehzahl, bis zu300min-1|Nenndrehzahl0 – 300min-1|Gewicht exkl. Akku8kg|WerkzeugaufnahmeSDS max|Bohr- Beton mit Hammerbohrern, von12mm|Bohr- Beton mit Hammerbohrern, bis45mm|Bohr- in Beton mit Hammerbohrern12 – 45mm|Rec. app. range in concr. with ham. dr. bits, from20mm|Rec. app. range in concr. with hammer dr. bits, to40mm|Optimaler Einsatzbereich Beton mit Hammerbohrern20 – 40mm|Unterteilung der ProduktkategorienAkku-Bohrhammer BITURBO mit SDS max","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-304306-117_jpg/detail.jpg/normal.jpg","0.149","0.411","0.618","7.8","","main_product",1,"","","","","","",""
"","503039","4058205035798","Anzahl leistungsstarker Automotive LEDs30LEDs|Lichstrom (im Boost-Modus)32000Lumen|Leuchtweite (im Boost-Modus, bis zu)2000Meter|Leuchtdauer (im Low-Modus, bis zu)16Stunden|Anzahl Lichtfunktionen (Boost, 5 Helligkeitsstufen, Stroboskop)7|Akkuenergie90Wh|Akkukapazität5000mAh|Ladezeit80Minuten|Reichweite Fernbedienung200Meter|IP SchutzklasseIP54","","","'https://www.nexmart.com/media/catalog/ampshare/xp30r_503039_a_main_image.png/normal.png","0.18","0.212","0.306","3.6","","",1,"","","","","","",""
"","P00M1-12V","","","","","'https://www.nexmart.com/media/catalog/ampshare/planum_mach_1/planum_mach_1_-_12v/planum_mach_1_-_12v_.jpg/normal.jpg","0.22","0.3","0.4","4.9","","",1,"","","","","","",""
"0 601 6A8 102","06016A8109","3165140951784","Hubzahl, 1. Gang0min-1|Hubzahl, 2. Gang2.500min-1|Hubzahl (1. Gang / 2. Gang)0 - 2.500min-1|TitelAkku-Säbelsäge GSA 18V-32 Professional|Verpackungsabmessungen (Breite)329mm|Verpackungsabmessungen (Länge)548mm|Verpackungsabmessungen (Höhe)152mm|Verpackungsabmessungen (Breite x Länge x Höhe)329 x 548 x 152mm|Akkuspannung18,0 V|Schnitttiefe in Holz230mm|Schnitttiefe in Metallprofilen und Metallrohren175mm|Hublänge, 1. Gang32mm|Hublängen32mm|Gewicht exkl. Akku3,5kg|Unterteilung der ProduktkategorienAkku-Säbelsäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-235537-117_jpg/normal.jpg/normal.jpg","0.152","0.329","0.548","3.5","","main_product",1,"","","","","","",""
"0 601 6C1 200","06016C1200","4059952610573","Sägeblattdurchmesser165mm|Sägeblattbohrungs-20mm|TitelAkku-Kreissäge GKS 18V-57-2 Professional|Neuheit bis02.08.2022|Verpackungsabmessungen (Breite)245mm|Verpackungsabmessungen (Länge)440mm|Verpackungsabmessungen (Höhe)300mm|Verpackungsabmessungen (Breite x Länge x Höhe)245 x 440 x 300mm|Akkuspannung18,0 V|Gewicht inkl. Akku3,2kg|Leerlaufdrehzahl, von5.000min-1|Leerlaufdrehzahl5.000min-1|Gewicht exkl. Akku2,8kg|FührungsschienenkompatibelNein|Max. Schnittkapazität in Holz (90°)57mm|Max. Schnittkapazität in Holz (45°)41mm|Unterteilung der ProduktkategorienAkku-Kreissäge","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-384168-117_jpg/detail.jpg/normal.jpg","0.3","0.245","0.44","2.91","","main_product",1,"","","","","","",""
"0 601 6C0 000","06016C0000","4059952581439","Hubzahl, 1. Gang2.900min-1|Hubzahl (1. Gang / 2. Gang)2.900min-1|TitelAkku-Säbelsäge BITURBO GSA 18V-28 Professional|Verpackungsabmessungen (Breite)185mm|Verpackungsabmessungen (Länge)500mm|Verpackungsabmessungen (Höhe)108mm|Verpackungsabmessungen (Breite x Länge x Höhe)185 x 500 x 108mm|Akkuspannung18,0 V|Schnitttiefe in Holz230mm|Schnitttiefe in Metallprofilen und Metallrohren150mm|Hublänge, 1. Gang28mm|Hublängen28mm|Gewicht exkl. Akku3,2kg|Unterteilung der ProduktkategorienAkku-Säbelsäge BITURBO","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-374256-117_jpg/detail.jpg/normal.jpg","0.108","0.185","0.5","3.2","","main_product",1,"","","","","","",""
"0 601 2B4 001","06012B4001","4059952529868","TitelAkku-Geradschleifer GGS 18V-10 SLC Professional|Neuheit bis01.12.2020|Verpackungsabmessungen (Breite)159mm|Verpackungsabmessungen (Länge)506mm|Verpackungsabmessungen (Höhe)112mm|Verpackungsabmessungen (Breite x Länge x Höhe)159 x 506 x 112mm|Akkuspannung18,0 V|Leerlaufdrehzahl10.500min-1|Gewicht exkl. Akku1,6kg|WerkzeugaufnahmeSpannzange|Unterteilung der ProduktkategorienAkku-Geradschleifer","","","'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-325638-117_jpg/detail.jpg/normal.jpg","0.112","0.159","0.506","1.58","","main_product",1,"","","","","","",""
